Nº;EMPRESA;TRIBUTAÇÃO;CONTABIL;COMPETENCIA;DATA CONCLUSÃO;OBSERVAÇÕES;QUEM CONFERIU;COLABORADOR
363;RIO BONITO FORCA E LUZ LTDA - Matriz;PRESUMIDO;S/M;08 - AGOSTO;2025-09-17 00:00:00;;MÊS 6 - 7 - 8 NÃO TEM NADA NA PASTA (ARQUIVOS FISICOS?);PABLO;
986;VANI EMPREENDIMENTOS;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-16 00:00:00;;;PABLO;
851;WK INCORPORADORA;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-16 00:00:00;;CONFERIR VALORES EXTRATO BRADESCO CDB, TALVEZ TENHA SIDO LANÇADO COM VALORES DIVERGENTES - PARCELAMENTOS NA 98 AJUSTAR;PABLO;
642;ZAAL;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-14 00:00:00;;;PABLO;
787;CANTU ABASTECEDORA LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-15 00:00:00;;;PABLO;
774;CANTU AGROPECUARIA LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-15 00:00:00;;;PABLO;
947;INCORPORADORA DONA LOURDES LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-14 00:00:00;;;PABLO;
721;INDUSTRIA DE PAPEIS FORTES LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-14 00:00:00;;TEM UMA COTA NO VALOR DE R$ 252,87 QUE FOI LANÇADA NOS MESES (04-05-06) NOS DEMAIS NÃO TEM EXTRATO MAS É O MESMO VALOR;PABLO;
945;SÃO LUCAS ADMINISTRAÇÃO E PARTICIPAÇÃO;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-14 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
765;AGROPECUARIA ROSSATO 3JR LTDA-Matriz;PRESUMIDO;MOVIMENTO;09 - SETEMBRO;2025-10-18 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
946;BAPE PARTICIPACOES LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-18 00:00:00;;VERIFICAR ESCRITURA MÊS 06/2025;PABLO;
580;C&P INDUSTRIA DE EMBALAGENS LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-13 00:00:00;;VERIFICAR PARCELAMENTOS (JANEIRO - FEVEREIRO);PABLO;
548;COOPERATIVA AGRO-INDUSTRIAL DE DIANOPOLIS - Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-18 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
810;EMAGRECER, NUTRICAO E ESTETICA JR LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-09-16 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
198;FRIGUZZI TANGARA LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-20 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
671;INCORPORADORA DE IMOVEIS BOM FUTURO LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-09-16 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
590;IRMAOS BRESSAN S/A IMOVEIS - Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-13 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
359;METALURGICA SLONGO LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-20 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
665;MONTE CARVALHO TRANSPORTES LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-14 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
763;PRIMOS AGROPECUARIA LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-13 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
160;SERRARIA PASETTO LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-13 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
655;TRANSPORTES HACK & SLONGO LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-13 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
788;VALESAN ENGENHARIA E CONSTRUÇÕES LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-10 00:00:00;;Lançar na Prefeitura Videira Protocolo - SEM MOVIMENTO EM 2025 (NADA NAS PASTAS) tem alvara 1 vez por ano Março;PABLO;
690;W & F SLONGO TRANSPORTES LTDA-Matriz;PRESUMIDO;S/M;09 - SETEMBRO;2025-10-10 00:00:00;;SEM MOVIMENTO EM 2025 (NADA NAS PASTAS);PABLO;
992;S. ALBERTI TECNOLOGIA;PRESUMIDO;MOVIMENTO;09 - SETEMBRO;2025-10-10 00:00:00;;;PABLO;
